PlayerID,Player,Team,G,GS,QS,CG,SHO,IP,W,L,H,HR,ER,BB,K,HLD,SV,BS,ERA,WHIP,K/9,BB/9,K/BB,HR/9
20390,Kendry Chourio,KC,0,0,0,0,0,1,0,0,1.13,0,0.7,0.32,0.89,0,0,0,6.30,1.45,7.99,2.92,2.73,0.00
17518,Drew Christo,FA,0,0,0,0,0,1,0,0,1.03,0,0.52,0.57,1,0,0,0,4.72,1.60,9.00,5.17,1.74,0.00
18203,Marc Church,TEX,35,0,0,0,0,38,1,1,32,5,17,14,31,0,0,4,4.03,1.21,7.34,3.32,2.21,1.18
18663,Miguel Cienfuegos,SD,0,0,0,0,0,1,0,0,1.16,0,0.71,0.51,0.69,0,0,0,6.43,1.66,6.22,4.55,1.37,0.00
19518,Jurrangelo Cijntje,STL,0,0,0,0,0,1,0,0,0.95,0,0.73,0.76,0.82,0,0,0,6.54,1.71,7.41,6.86,1.08,0.00
13096,Adam Cimber,FA,0,0,0,0,0,1,0,0,1.06,0,0.57,0.38,0.89,0,0,0,5.09,1.44,8.04,3.43,2.34,0.00
11752,Jose Cisnero,FA,0,0,0,0,0,1,0,0,1,0,0.53,0.43,1.04,0,0,0,4.73,1.43,9.36,3.83,2.44,0.00
14366,Aaron Civale,ATH,24,24,6,0,0,129,6,8,121,19,62,40,116,0,0,0,4.33,1.25,8.09,2.79,2.90,1.33
19053,Chris Clark,TB,0,0,0,0,0,1,0,0,1.24,0,0.93,0.64,0.77,0,0,0,8.38,1.89,6.94,5.77,1.20,0.00
17479,Brandon Clarke,STL,0,0,0,0,0,1,0,0,0.77,0,0.63,0.77,1.04,0,0,0,5.63,1.55,9.34,6.97,1.34,0.00
13890,Taylor Clarke,ARI,57,0,0,0,0,59,2,2,51,9,27,18,52,0,0,1,4.12,1.17,7.93,2.75,2.89,1.37
16246,Chris Clarke,FA,0,0,0,0,0,1,0,0,1.13,0,0.6,0.38,0.82,0,0,0,5.43,1.51,7.36,3.39,2.17,0.00
12953,Ian Clarkin,ARI,0,0,0,0,0,1,0,0,1.18,0,0.73,0.45,1,0,0,0,6.53,1.63,9.00,4.05,2.22,0.00
13908,Garrett Cleavinger,TB,65,0,0,0,0,63,4,4,49,8,24,24,66,19,13,5,3.43,1.16,9.43,3.43,2.75,1.14
20275,Jake Clemente,MIA,0,0,0,0,0,1,0,0,0.88,0,0.38,0.45,0.9,0,0,0,3.38,1.33,8.10,4.05,2.00,0.00
18939,Alex Clemmey,WSH,0,0,0,0,0,1,0,0,0.97,0,0.74,1.07,0.88,0,0,0,6.62,2.04,7.96,9.59,0.83,0.00
20537,Tyler Cleveland,SEA,0,0,0,0,0,1,0,0,0.95,0,0.5,0.49,0.77,0,0,0,4.54,1.45,6.91,4.44,1.56,0.00
12784,Mike Clevinger,PIT,11,11,2,0,0,64,1,3,59,8,35,34,50,0,0,0,4.92,1.45,7.03,4.78,1.47,1.13
14472,Trevor Clifton,FA,0,0,0,0,0,1,0,0,1.1,0,0.7,0.63,0.93,0,0,0,6.30,1.73,8.33,5.63,1.48,0.00
9504,Alex Cobb,FA,14,14,5,0,0,79,5,3,73,8,30,19,59,0,0,0,3.42,1.16,6.72,2.16,3.11,0.91
13842,Kyle Cody,FA,0,0,0,0,0,1,0,0,1.08,0,0.61,0.46,0.88,0,0,0,5.46,1.53,7.88,4.10,1.93,0.00
16878,Adisyn Coffey,CWS,0,0,0,0,0,1,0,0,1.02,0,0.58,0.54,0.97,0,0,0,5.24,1.56,8.77,4.86,1.80,0.00
