,,,,,2026 Batter Projections,,,,,,,2026 Pitcher Projections,,,,,,
Value,Player,Age,Team,Pos,G,AB,AVG,HR,RBI,SB,R,GS,IP,W,SV,K,ERA,WHIP
5.1829972,Emmet Sheehan,27,LAD,SP/RP,34,0,.000,0,0,0,0,22,130.0,8,0,140,3.81,1.108
5.1648321,Seth Lugo,37,KC,SP,26,0,.000,0,0,0,0,26,156.0,9,0,138,3.58,1.205
5.1560984,Jake Burger,30,TEX,1B,127,478,.243,23,69,2,61,0,0.0,0,0,0,0.00,0.000
4.9039474,Sal Stewart,23,CIN,1B,122,432,.259,18,61,8,57,0,0.0,0,0,0,0.00,0.000
4.8548393,Noelvi Marte,25,CIN,3B/OF,128,492,.246,15,59,14,62,0,0.0,0,0,0,0.00,0.000
4.8398824,Ryan O'Hearn,33,PIT,1B/OF/DH,122,453,.269,16,62,5,62,0,0.0,0,0,0,0.00,0.000
4.8186707,Sal Frelick,26,MIL,OF,132,489,.262,9,52,17,69,0,0.0,0,0,0,0.00,0.000
4.5791035,Trevor Megill,33,MIL,RP,62,0,.000,0,0,0,0,0,63.0,5,22,64,3.43,1.159
4.5351467,Carlos Correa,32,HOU,SS/3B,129,490,.271,17,62,1,66,0,0.0,0,0,0,0.00,0.000
4.4490051,Max Muncy,36,LAD,3B,110,380,.232,20,68,5,61,0,0.0,0,0,0,0.00,0.000
4.4222126,Brendan Donovan,29,SEA,2B,135,512,.277,13,58,5,67,0,0.0,0,0,0,0.00,0.000
4.2845831,Cam Schlittler,25,NYY,SP,24,0,.000,0,0,0,0,24,135.0,9,0,144,3.53,1.244
4.1683459,Trey Yesavage,23,TOR,SP/RP,29,0,.000,0,0,0,0,24,134.0,10,0,140,3.76,1.231
4.1359539,Jonathan Aranda,28,TB,1B,135,485,.249,17,61,6,67,0,0.0,0,0,0,0.00,0.000
4.1352382,Aaron Nola,33,PHI,SP,28,0,.000,0,0,0,0,28,166.0,10,0,168,4.12,1.247
4.0847406,Chandler Simpson,26,TB,OF,108,412,.279,3,31,35,53,0,0.0,0,0,0,0.00,0.000
4.0719643,Agustin Ramirez,25,MIA,C/DH,121,454,.231,18,57,14,60,0,0.0,0,0,0,0.00,0.000
3.9998302,Chase Burns,23,CIN,SP/RP,29,0,.000,0,0,0,0,24,129.0,7,0,159,3.63,1.202
3.9822545,Jose Caballero,30,NYY,2B/SS/3B/OF,112,371,.229,10,42,32,53,0,0.0,0,0,0,0.00,0.000
3.9515116,Cedric Mullins,32,TB,OF,110,395,.228,15,56,19,55,0,0.0,0,0,0,0.00,0.000
3.7761922,Kazuma Okamoto,30,TOR,3B,115,443,.253,20,63,2,61,0,0.0,0,0,0,0.00,0.000
3.7428062,Ivan Herrera,26,STL,DH,127,458,.262,13,58,9,63,0,0.0,0,0,0,0.00,0.000
3.6649539,Nolan Arenado,35,ARI,3B,134,512,.252,16,69,3,62,0,0.0,0,0,0,0.00,0.000
3.6622102,Sandy Alcantara,31,MIA,SP,28,0,.000,0,0,0,0,28,175.0,11,0,144,4.06,1.240
3.6202829,Jack Flaherty,31,DET,SP,28,0,.000,0,0,0,0,28,160.0,10,0,182,4.22,1.281
3.5862727,Marcell Ozuna,36,PIT,DH,120,425,.242,23,65,0,60,0,0.0,0,0,0,0.00,0.000
3.5338635,Andres Gimenez,28,TOR,2B,135,495,.234,11,55,21,60,0,0.0,0,0,0,0.00,0.000
3.4811776,Jorge Polanco,33,NYM,2B/DH,121,448,.243,20,63,6,55,0,0.0,0,0,0,0.00,0.000
3.4604354,Shane Baz,27,BAL,SP,28,0,.000,0,0,0,0,28,159.0,9,0,155,4.08,1.208
3.4192789,Mickey Moniak,28,COL,OF,113,422,.249,18,57,10,54,0,0.0,0,0,0,0.00,0.000
3.391685,Adley Rutschman,28,BAL,C,138,491,.255,17,65,1,66,0,0.0,0,0,0,0.00,0.000
3.2414656,Jose Soriano,28,LAA,SP,30,0,.000,0,0,0,0,30,170.0,10,0,168,3.86,1.318
3.1114397,Gerrit Cole,36,NYY,SP,17,0,.000,0,0,0,0,17,103.0,9,0,107,3.67,1.097
3.0163865,Willi Castro,29,COL,2B/3B/OF,128,465,.241,12,45,18,70,0,0.0,0,0,0,0.00,0.000
